id_examinee;math;physics;chemistry;biology;history;geography;literature;civic_education;english;russian;french;chinese;german;japanese
3021036;4;;;;4.50;7.50;7.75;8.50;5.40;;;;;
3021048;8.60;8;4;4.75;;;6.25;;8;;;;;
3021053;3.20;;;;4;5.25;5.50;6.75;6.40;;;;;
3021055;8.40;;;;7.50;8;8.25;9;7.20;;;;;
3021057;8.80;;;;6.75;8.25;8;9.50;9.20;;;;;
3021058;8.40;8.50;5.25;7;;;7.50;;8.80;;;;;
3021059;5.80;;;;5.75;6.50;5.50;9.25;4.40;;;;;
3021060;7;;;;8.25;7.75;8.50;9.50;8.20;;;;;
3021066;8.20;8.25;6.75;6.75;;;6.75;;5.40;;;;;
3021074;6.20;;;;3.25;6.50;6.25;8.50;3.20;;;;;
3021076;8.60;;;;6.75;8.25;8.50;9.25;6.60;;;;;
3021078;8.20;;;;6.25;7.50;7.50;9;3.80;;;;;
3021079;7.20;;;;8.25;7.50;9;8.25;4.40;;;;;
3021083;7.80;;;;8;7;8.75;9;6.20;;;;;
3021087;7.60;7.25;6.25;5.75;;;5;;5.20;;;;;
3021088;8.60;;;;6.25;7.75;9;9.75;9.20;;;;;
3021089;6;5.50;7.25;3.50;;;6;;5;;;;;
3021090;9;8.25;7;4.50;;;7;;7.40;;;;;
3021092;8.20;8.25;6.50;5.25;;;5.75;;2.80;;;;;
3021093;7.80;7.75;7.75;3.25;;;6.75;;5;;;;;
3021095;6;;;;5.25;8;7;8.75;3.80;;;;;
3021098;7.60;6.50;5.25;4.50;;;8.25;;5;;;;;
3021102;9;8.50;5.25;3.50;;;7.50;;9.80;;;;;
3021104;8.20;8;5.75;6;;;6.75;;4.40;;;;;
3021106;6;;;;7.25;7;8;9.75;4.60;;;;;
3021110;9.20;7.75;6.50;6.50;;;6.50;;9.20;;;;;
3021112;8.60;8.25;7;5.50;;;8.50;;7.20;;;;;
3021114;7.60;;;;9;8.50;8;10;7.60;;;;;
3021120;6;3.75;6.50;5.75;;;8;;4.60;;;;;
3021123;6.60;5.50;5;5.25;;;6;;3.80;;;;;
3021124;8.40;;;;6.25;5.75;7.75;9.50;5.40;;;;;
3021128;7;;;;5.25;6.75;7;8.25;4.80;;;;;
3021129;6;;;;6.75;7;6.50;8.25;4.80;;;;;
3021130;8.60;;;;8;8.50;7.75;9;4.40;;;;;
3021131;8.20;7.75;5.75;6;;;7.25;;3.20;;;;;
3021133;8.20;7.75;6.25;6.50;;;9;;8.20;;;;;
3021140;6.40;;;;4.75;6.75;6.25;8.50;2.80;;;;;
3021157;8.40;6.25;6.50;6.50;;;8.75;;9.40;;;;;
3021165;8.20;;;;5.50;6.50;9.25;9.25;9.40;;;;;
3021166;8.80;7.75;5.50;5.50;;;9;;10;;;;;
3021172;7.80;6;7.25;5.75;;;7.75;;9.20;;;;;
6002910;2.40;;;;4;4.50;4.50;8.25;2.80;;;;;
6003055;;;;;2.50;7.50;6.75;;;;;;;
18000933;7.60;4;4;4;;;7.50;;7.20;;;;;
18000934;8.20;6.25;4;6.50;;;7;;9.80;;;;;
18000935;7.20;7.25;3.75;4.25;;;5.50;;10;;;;;
18000936;4;;;;5.75;7.75;8;8.25;4.60;;;;;
18000937;4;;;;3.75;6.75;7.75;6.75;3;;;;;
18000938;6.20;;;;3.50;6.75;7.75;8.25;5;;;;;
18000939;6;;;;5.25;7.75;7;8;5.40;;;;;
18000940;8.40;7.75;7.75;6.75;;;7;;4.60;;;;;
18000941;3.80;;;;4.75;6.75;6.50;7.75;3.40;;;;;
18000942;4;;;;4.75;6.75;6.75;;;;;;;
18000943;9;5.50;8;9;;;6.50;;4;;;;;
18000944;6.80;;;;4;7.50;8.50;7.25;4.40;;;;;
18000945;7.60;;;;5.50;6.50;8;7.50;5.20;;;;;
18000946;6;;;;5;5.75;6.75;8;5.20;;;;;
18000947;7.40;6.25;5.50;5.75;;;7;;7.80;;;;;
18000948;6.80;;;;5.25;7.25;7;9.25;6.60;;;;;
18000949;8.20;8.25;3.50;5.50;;;6.50;;8.20;;;;;
18000950;7.20;;;;4.50;7.50;7.75;8.50;4.40;;;;;
18000951;5.60;;;;3.50;5.50;7.25;9;3.80;;;;;
18000952;8;;;;4;5.75;7;8.50;4.40;;;;;
18000953;8.20;5.75;7.75;8.75;;;7.25;;6;;;;;
18000954;4.20;;;;4.75;7;6.25;7;3.60;;;;;
18000955;3.80;;;;3.25;6.50;5.75;;;;;;;
18000956;8.40;8;9;5.50;;;8.75;;9.40;;;;;
18000957;9.20;8.50;8.75;4.25;;;8;;7.60;;;;;
18000958;8;;;;4;6.50;9;8.50;7.20;;;;;
18000959;6.40;;;;3;6;7;8;4;;;;;
18000960;8.40;8.25;7.75;6.25;;;8.50;;6.60;;;;;
18000961;6;;;;5.50;8;8;8.75;5.60;;;;;
18000962;8.60;;;;7.75;8.50;9;9.25;9.60;;;;;
18000963;7.40;;;;4;6.75;9;9;8;;;;;
18000964;7.80;;;;4;7.25;8.75;8.75;8;;;;;
18000965;6.40;;;;5;6.25;7.75;9.50;6.80;;;;;
18000966;8.40;;;;4.25;7.75;9;9.25;9.20;;;;;
18000967;5.60;;;;2.75;6.25;5;9;6.60;;;;;
18000968;8.60;;;;4;8;9;8;8.20;;;;;
18000969;7.80;;;;3.75;6.75;8.25;8.50;7;;;;;
18000970;8.40;8.25;6.75;5;;;6;;3.60;;;;;
18000971;9;;;;6.25;7.75;8.75;9.25;8.40;;;;;
18000972;8.20;6;4;3.25;;;8.25;;8.60;;;;;
18000973;7.60;;;;7.25;8.50;8.25;8;5.40;;;;;
18000974;3;;;;5.50;5.75;5.75;;;;;;;
18000975;6.60;;;;3.75;6;6;8.25;2.80;;;;;
18000976;7.80;;;;5.75;7.25;8.75;9.50;8;;;;;
18000977;5.60;;;;6.50;7.75;3;;;;;;;
18000978;8;7.50;6;5.75;;;6.50;;4.60;;;;;
18000979;8;;;;8.25;8;8.75;9.25;8.40;;;;;
18000980;4.80;;;;6.25;7;7;;;;;;;
18000981;3.20;;;;5;6.50;3.50;;;;;;;
18000982;2.60;;;;2.25;6;5;;;;;;;
18000983;4.40;;;;3.25;6.50;6;5.75;3.40;;;;;
18000984;7.20;;;;7.25;8.50;7.75;7.25;6.80;;;;;
18000985;4.60;;;;4.75;7.25;8;;;;;;;
18000986;6.60;;;;7.75;7.75;7;9.75;6.40;;;;;
18000987;4.20;;;;4;7;7.75;7;5.80;;;;;
18000988;8.40;7.50;7.25;6.75;;;7.25;;4.80;;;;;
18000989;3.60;;;;6;4.25;6;;;;;;;
18000990;3;;;;3.50;6.25;5;;;;;;;
18000991;7.80;;;;6.25;8.75;9.25;9.25;4.40;;;;;
18000992;4.20;;;;5;7.50;6.50;8;2.40;;;;;
18000993;7.80;;;;6.25;7.50;7.75;8.50;7;;;;;
18000994;4.60;;;;6.50;7.25;4;;;;;;;
18000995;4.80;3.25;3.50;4.75;;;3.75;;7.60;;;;;
18000996;7.80;;;;4;5.50;8;8.25;9.40;;;;;
18000997;4.40;;;;4.75;9;8.75;7.75;9;;;;;
18000998;6.80;;;;4.25;6.50;7.75;7.50;3.60;;;;;
18000999;4.60;;;;6;7.25;8.50;9.75;4.80;;;;;
18001000;7.60;;;;7.50;7.25;8.50;9.25;7.60;;;;;
18001001;4;;;;6.25;5.25;6.25;;;;;;;
18001002;8;;;;6.75;8.50;8.50;9;7.60;;;;;
18001003;7.60;3.50;6.75;7.25;;;6.75;;5.80;;;;;
18001004;7.60;;;;6;6;5.25;;;;;;;
18001005;7.20;;;;7.25;8.50;8.25;9.50;3.40;;;;;
18001006;8.40;;;;5.75;7.50;9;9.25;5.80;;;;;
18001007;6.20;6.50;5.50;3.75;;;8.25;;3.60;;;;;
18001008;8;5.50;5.50;5;;;7.25;;4.20;;;;;
18001009;7.80;;;;3.50;6.25;7.25;7.50;4.20;;;;;
18001010;5.60;;;;4;5;5.75;;;;;;;
18001011;9.20;6.50;5.25;5.50;;;9;;7.80;;;;;
18001012;8.40;;;;5.75;5.50;9;7;9;;;;;
18001013;5.80;;;;3.25;6.25;7.75;6.75;6;;;;;
18001014;7.60;;;;5.25;6.75;7.50;9.50;3.80;;;;;
18001015;2.60;;;;3.75;6.25;4.50;;;;;;;
18001016;7.80;;;;8.25;9;6.75;8.50;6.80;;;;;
18001017;3;;;;6.50;5;5.25;;;;;;;
18001018;8.40;7.75;8.25;5.75;;;8;;9.80;;;;;
18001019;8.80;7.50;7.50;4;;;7;;5.80;;;;;
18001020;3.20;;;;5.50;6.75;5.75;;;;;;;
18001021;8;;;;9;9;8.50;9.50;6.80;;;;;
18001022;8;5.25;7.25;7;;;8.50;;6.20;;;;;
18001023;8.60;8;8.25;4.25;;;7.25;;5.20;;;;;
18001024;4.80;;;;5.75;7.75;6.50;7.75;4.20;;;;;
18001025;6.40;;;;5;7.75;7.75;8.25;3.20;;;;;
18001026;6;;;;7.50;7.50;5.25;;;;;;;
18001027;3.20;;;;5.75;7.25;5;;;;;;;
18001028;1.80;;;;3.75;7.75;5.50;;;;;;;
18001029;3;;;;7.75;7.75;4.75;;;;;;;
18001030;4.20;;;;4;7.50;8;8.75;6;;;;;
18001031;7.40;;;;7.75;8;8.25;9;7;;;;;
18001032;7;;;;8.75;9.50;8.50;9;4.80;;;;;
18001033;8.20;;;;6.50;6.50;7.75;8;9.20;;;;;
18001034;8.60;3.75;8;7.25;;;6.50;;4.60;;;;;
18001035;9;5.25;7.50;8;;;8;;9;;;;;
18001036;9;8.75;7.50;6.75;;;8.50;;9.40;;;;;
18001037;7.80;;;;4.75;6.75;8.50;9.25;8.20;;;;;
18001038;2.60;;;;3.50;6;3.75;;;;;;;
18001039;8.20;7.75;7;4.50;;;7;;4.40;;;;;
18001040;6.60;;;;8.25;8.25;7.50;9.25;4.60;;;;;
18001041;3.60;;;;5.50;5.50;7;9;3.20;;;;;
18001042;6.80;;;;5.75;7.25;8.25;7.50;6.20;;;;;
18001043;8.20;;;;6.25;6.75;9;8.50;9.80;;;;;
18001044;8.20;6.75;6.25;6.75;;;8.50;;9.60;;;;;
18001045;8.60;7.25;8.50;8.50;;;8;;6.60;;;;;
18001046;6.20;;;;6.50;7;6.75;8;3;;;;;
18001047;8.80;8;8.50;5.25;;;7.50;;4.20;;;;;
18001048;2.80;;;;5.75;6.50;5;;;;;;;
18001049;7.60;;;;7;5.50;5;;;;;;;
18001050;8.20;8.25;8.75;4.50;;;6.75;;2.80;;;;;
18001051;5;;;;7.50;7.50;7.50;;;;;;;
18001052;4;;;;6.50;8.25;8.25;;;;;;;
18001053;7.80;;;;5.50;5.75;9;9;5.20;;;;;
18001054;7.80;;;;6.75;7.50;8.75;8.75;6.60;;;;;
18001055;8.80;7.75;8.50;6.25;;;7.75;;6.80;;;;;
18001056;3.40;;;;3.50;4.25;4.25;;;;;;;
18001057;8.20;7;7.75;7;;;7.25;;4.20;;;;;
18001058;5.20;;;;6.75;6.25;5.50;;;;;;;
18001059;7.40;;;;9;8.50;9;9.25;7.20;;;;;
18001060;1.40;;;;6.50;7.25;4.75;;;;;;;
18001061;2.80;;;;2.50;4.50;3.50;;;;;;;
18001062;8.40;8;7.75;4.75;;;7;;3;;;;;
18001063;7.20;;;;5.50;6.50;6.25;8;5;;;;;
18001064;6.60;;;;7.75;7.75;8.50;7.50;4.80;;;;;
18001065;8.20;7.25;6.50;5.25;;;8.75;;9.40;;;;;
18001066;8.40;;;;6.75;7.50;8.25;8.50;6.40;;;;;
18001067;8.60;8.25;7.25;3.50;;;7.75;;4.20;;;;;
18001068;6.20;;;;5.25;8;4.50;;;;;;;
